epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,780.027,0.88487,4.64714,1.37283,0.01468,0.63048,0.05889,0.04669,0.72878,3.65323,1.33694,4.2146e-05,4.2146e-05,4.2146e-05
2,1486.96,0.82058,4.08906,1.32559,0.33195,0.23995,0.17701,0.14201,0.7769,2.85422,1.33606,8.28067e-05,8.28067e-05,8.28067e-05
3,2154.07,0.84308,3.54333,1.33502,0.35994,0.33478,0.27403,0.22176,0.77088,2.47853,1.34549,0.000121791,0.000121791,0.000121791
4,2782.18,0.82882,3.16586,1.31732,0.38445,0.43554,0.38258,0.31074,0.78164,2.17624,1.35252,0.000119456,0.000119456,0.000119456
5,3428.8,0.83201,2.8808,1.31689,0.43805,0.42375,0.42195,0.34372,0.76095,2.03983,1.33365,0.000116942,0.000116942,0.000116942
6,4050.88,0.80169,2.70525,1.29491,0.44204,0.53754,0.49428,0.40663,0.72451,1.89631,1.297,0.000114427,0.000114427,0.000114427
7,4639.56,0.79595,2.52534,1.28702,0.45249,0.56604,0.52359,0.42927,0.72981,1.7561,1.30007,0.000111912,0.000111912,0.000111912
8,5297.83,0.77916,2.37422,1.26866,0.48587,0.57131,0.55341,0.45934,0.72433,1.69531,1.28719,0.000109398,0.000109398,0.000109398
9,5901.13,0.75743,2.26244,1.25913,0.51012,0.5373,0.55031,0.45987,0.69226,1.63867,1.26804,0.000106883,0.000106883,0.000106883
10,6566.17,0.73697,2.12251,1.23756,0.5231,0.58253,0.58261,0.48457,0.69063,1.58262,1.25181,0.000104369,0.000104369,0.000104369
11,7264.83,0.73062,2.07366,1.2268,0.58136,0.5913,0.61623,0.51588,0.66591,1.46165,1.22959,0.000101854,0.000101854,0.000101854
12,7863.85,0.71562,1.98808,1.21731,0.59542,0.57452,0.61731,0.51521,0.67538,1.4785,1.22932,9.93394e-05,9.93394e-05,9.93394e-05
13,8518.95,0.712,1.91668,1.21035,0.59154,0.60551,0.63608,0.53321,0.67752,1.42257,1.23229,9.68248e-05,9.68248e-05,9.68248e-05
14,9216.94,0.70839,1.85919,1.20385,0.56941,0.65266,0.65527,0.55275,0.65575,1.34428,1.21646,9.43102e-05,9.43102e-05,9.43102e-05
15,9909.74,0.70022,1.801,1.20933,0.57579,0.65148,0.64117,0.53741,0.68308,1.40262,1.22576,9.17956e-05,9.17956e-05,9.17956e-05
16,10525.1,0.68374,1.76523,1.19006,0.61416,0.64597,0.67116,0.56373,0.65803,1.30687,1.21071,8.9281e-05,8.9281e-05,8.9281e-05
17,11109,0.68108,1.7241,1.18631,0.62208,0.64083,0.67548,0.571,0.6609,1.29175,1.20496,8.67664e-05,8.67664e-05,8.67664e-05
18,11732.7,0.68565,1.65942,1.19185,0.63973,0.64077,0.67826,0.57168,0.64898,1.31707,1.19532,8.42518e-05,8.42518e-05,8.42518e-05
19,12379.2,0.67325,1.63236,1.1795,0.59362,0.70241,0.68842,0.57865,0.6517,1.24661,1.19769,8.17372e-05,8.17372e-05,8.17372e-05
20,13008.5,0.67881,1.60164,1.17927,0.64062,0.66637,0.69326,0.57872,0.66121,1.23938,1.21111,7.92226e-05,7.92226e-05,7.92226e-05
21,13661.2,0.68123,1.5805,1.18675,0.61023,0.68214,0.70192,0.59419,0.65649,1.23929,1.19727,7.6708e-05,7.6708e-05,7.6708e-05
22,14288.3,0.66327,1.53595,1.17363,0.60205,0.6867,0.70013,0.59359,0.65449,1.24434,1.20668,7.41934e-05,7.41934e-05,7.41934e-05
23,14874.9,0.65549,1.50256,1.16041,0.62918,0.68967,0.71206,0.60843,0.6362,1.20163,1.19452,7.16788e-05,7.16788e-05,7.16788e-05
24,15524,0.6548,1.48255,1.1644,0.65986,0.67965,0.71472,0.60515,0.64869,1.18556,1.1974,6.91642e-05,6.91642e-05,6.91642e-05
